,movieId,average_rating,title,genres,year
0,1,3.893707794587238,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995
1,2,3.2515271586594023,Jumanji (1995),Adventure|Children|Fantasy,1995
2,3,3.142028126058963,Grumpier Old Men (1995),Comedy|Romance,1995
3,4,2.853547364,Waiting to Exhale (1995),Comedy|Drama|Romance,1995
4,5,3.0584343520573674,Father of the Bride Part II (1995),Comedy,1995
5,6,3.854908898649748,Heat (1995),Action|Crime|Thriller,1995
6,7,3.3636663369601054,Sabrina (1995),Comedy|Romance,1995
7,8,3.1145833333333335,Tom and Huck (1995),Adventure|Children,1995
8,9,2.992050660199407,Sudden Death (1995),Action,1995
9,10,3.421457633,GoldenEye (1995),Action|Adventure|Thriller,1995
10,11,3.6571705198920315,"American President, The (1995)",Comedy|Drama|Romance,1995
11,12,2.6245656241646618,Dracula: Dead and Loving It (1995),Comedy|Horror,1995
12,13,3.333527696793003,Balto (1995),Adventure|Animation|Children,1995
13,14,3.4234888364494465,Nixon (1995),Drama,1995
14,15,2.7190217391304348,Cutthroat Island (1995),Action|Adventure|Romance,1995
15,16,3.8237068028689416,Casino (1995),Crime|Drama,1995
16,17,3.948806325713417,Sense and Sensibility (1995),Drama|Romance,1995
17,18,3.3843505768515074,Four Rooms (1995),Comedy,1995
18,19,2.6421677802524126,Ace Ventura: When Nature Calls (1995),Comedy,1995
19,20,2.869921875,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995
20,21,3.5701620505454055,Get Shorty (1995),Comedy|Crime|Thriller,1995
21,22,3.3200173216412256,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995
22,23,3.145691333982473,Assassins (1995),Action|Crime|Thriller,1995
23,24,3.187583893,Powder (1995),Drama|Sci-Fi,1995
24,25,3.677304434479322,Leaving Las Vegas (1995),Drama|Romance,1995
25,26,3.606708513142409,Othello (1995),Drama,1995
26,27,3.4039315155358274,Now and Then (1995),Children|Drama,1995
27,28,4.03,Persuasion (1995),Drama|Romance,1995
28,29,3.936724864539434,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995
29,30,3.6367924528301887,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995
30,31,3.244838567977158,Dangerous Minds (1995),Drama,1995
31,32,3.9057678412037236,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995
32,33,3.023076923076923,Wings of Courage (1995),Adventure|Romance|IMAX,1995
33,34,3.6031917599186163,Babe (1995),Children|Drama,1995
34,35,3.4792899408284024,Carrington (1995),Drama|Romance,1995
35,36,3.918686817,Dead Man Walking (1995),Crime|Drama,1995
36,37,2.993333333333333,Across the Sea of Time (1995),Documentary|IMAX,1995
37,38,2.870839936608558,It Takes Two (1995),Children|Comedy,1995
38,39,3.4187380861608845,Clueless (1995),Comedy|Romance,1995
39,40,3.6267252195734003,"Cry, the Beloved Country (1995)",Drama,1995
40,41,3.843413033286451,Richard III (1995),Drama|War,1995
41,42,3.0495652173913044,Dead Presidents (1995),Action|Crime|Drama,1995
42,43,3.4499566724436743,Restoration (1995),Drama,1995
43,44,2.6546241414996707,Mortal Kombat (1995),Action|Adventure|Fantasy,1995
44,45,3.382907947260191,To Die For (1995),Comedy|Drama|Thriller,1995
45,46,3.2634129456559364,How to Make an American Quilt (1995),Drama|Romance,1995
46,47,4.0791663372598626,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995
47,48,2.9777505385929723,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995
48,49,3.5197368421052633,When Night Is Falling (1995),Drama|Romance,1995
49,50,4.284353213163313,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995
50,51,2.607142857142857,Guardian Angel (1994),Action|Drama|Thriller,1994
51,52,3.532892426548051,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995
52,53,3.6496350364963503,Lamerica (1994),Adventure|Drama,1994
53,54,2.8411316648531013,"Big Green, The (1995)",Children|Comedy,1995
54,55,3.220329024676851,Georgia (1995),Drama,1995
55,56,1.9153846153846155,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,1995
56,57,3.320438282647585,Home for the Holidays (1995),Drama,1995
57,58,3.9679004101879234,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994
58,59,3.563535912,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,1995
59,60,3.0958892617449663,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995
60,61,3.3160919540229883,Eye for an Eye (1996),Drama|Thriller,1996
61,62,3.715354676022366,Mr. Holland's Opus (1995),Drama,1995
62,63,3.083904109589041,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996
63,64,2.81395966,Two if by Sea (1996),Comedy|Romance,1996
64,65,2.370255201,Bio-Dome (1996),Comedy,1996
65,66,2.1376975169300225,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996
66,67,3.2975460122699385,Two Bits (1995),Drama,1995
67,68,3.4301601423487544,French Twist (Gazon maudit) (1995),Comedy|Romance,1995
68,69,3.5583216456287987,Friday (1995),Comedy,1995
69,70,3.326568919110356,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996
70,71,2.345673877,Fair Game (1995),Action,1995
71,72,3.4868532654792195,Kicking and Screaming (1995),Comedy|Drama,1995
72,73,3.796035568729159,"Misérables, Les (1995)",Drama|War,1995
73,74,3.2880989180834623,Bed of Roses (1996),Drama|Romance,1996
74,75,2.429657794676806,Big Bully (1996),Comedy|Drama,1996
75,76,3.010046367851623,Screamers (1995),Action|Sci-Fi|Thriller,1995
76,77,3.4028436018957344,Nico Icon (1995),Documentary,1995
77,78,3.152790079716563,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,1995
78,79,3.1199367713890536,"Juror, The (1996)",Drama|Thriller,1996
79,80,3.7495145631067963,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,1995
80,81,3.2527435982707016,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995
81,82,3.9923513986013988,Antonia's Line (Antonia) (1995),Comedy|Drama,1995
82,83,3.644320297951583,Once Upon a Time... When We Were Colored (1995),Drama|Romance,1995
83,84,3.358156028368794,Last Summer in the Hamptons (1995),Comedy|Drama,1995
84,85,3.526833265055305,Angels and Insects (1995),Drama|Romance,1995
85,86,3.4766641162968632,White Squall (1996),Action|Adventure|Drama,1996
86,87,2.349680170575693,Dunston Checks In (1996),Children|Comedy,1996
87,88,3.107188160676533,Black Sheep (1996),Comedy,1996
88,89,3.1294022617124395,Nick of Time (1995),Action|Thriller,1995
89,90,3.3333333333333335,The Journey of August King (1995),Drama,1995
90,92,2.8500473036896876,Mary Reilly (1996),Drama|Horror|Thriller,1996
91,93,2.4919938016528924,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995
92,94,3.5279255319148937,Beautiful Girls (1996),Comedy|Drama|Romance,1996
93,95,3.077245421955237,Broken Arrow (1996),Action|Adventure|Thriller,1996
94,96,3.7004504504504503,In the Bleak Midwinter (1995),Comedy|Drama,1995
95,97,3.9862332695984706,"Hate (Haine, La) (1995)",Crime|Drama,1995
96,98,2.5963855421686746,Shopping (1994),Action|Thriller,1994
97,99,3.1010479041916166,Heidi Fleiss: Hollywood Madam (1995),Documentary,1995
98,100,3.2212201591511938,City Hall (1996),Drama|Thriller,1996
99,101,3.7673501577287065,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996
